salary,"height, cm","weight, kg",game_started,mins,sub_on,total_wins,goals,duel_won,accurate_cross,assist,yellow_card,won_tackle,aerial_won,ontarget_scoring_att,successful_short_pass,won_corners,ball_recovery,total_offside
2360667,188,82,22,1958,3,7,2,114,12,1,5,32,18,11,891,8,178,0
1080000,186,79,5,450,0,2,0,50,1,0,1,8,33,1,175,0,38,0
450000,167,77,26,2359,3,10,0,220,0,1,13,46,18,1,1006,1,194,0
460000,189,84,21,1837,5,12,0,58,1,1,6,12,31,1,717,0,101,3
121303,178,75,19,1870,15,13,4,110,4,3,3,10,27,14,318,18,65,4
84000,183,72,17,1669,7,3,1,101,2,0,1,19,57,4,590,2,62,1
378167,181,73,10,701,2,4,1,24,3,0,2,2,7,2,248,7,34,2
471031,178,73,4,363,3,1,0,25,0,0,0,6,2,5,66,2,20,1
506667,185,70,26,2453,4,15,16,85,15,8,4,8,13,38,581,34,95,6
969781,185,84,31,2699,3,14,2,111,85,13,5,29,22,11,710,35,215,4
716667,185,75,5,311,0,2,0,6,0,1,0,1,3,0,29,1,7,2
680000,163,61,25,2105,8,16,8,83,17,6,3,11,8,21,351,32,65,10
529167,185,95,28,2520,0,14,0,12,0,0,2,0,7,0,548,0,193,0
401208,189,88,15,1293,7,7,1,54,1,1,2,10,24,1,541,2,91,0
230280,178,70,4,536,15,3,0,12,1,0,1,1,0,10,122,10,14,3
84000,180,75,9,819,3,8,1,55,0,2,1,14,29,2,257,1,47,0
795220,180,71,29,2514,0,13,1,114,32,11,7,37,19,6,914,29,176,1
1803000,168,77,29,2331,1,16,6,95,31,7,1,23,7,16,902,15,173,5
840627,178,73,16,1339,2,4,0,80,1,0,2,26,17,2,728,2,97,0
635364,175,79,14,1663,19,10,5,79,9,6,3,5,8,19,203,25,67,4
655307,188,91,25,2189,0,10,0,87,0,1,3,26,34,1,717,2,135,0
425000,168,76,20,1657,3,8,0,123,1,0,9,52,16,0,646,4,124,0
344576,173,67,3,349,10,10,0,42,1,4,0,12,6,1,124,3,46,0
517500,188,89,6,828,25,4,4,48,2,3,2,8,17,11,121,5,31,12
976758,185,77,3,251,10,7,3,12,0,1,0,1,7,5,33,0,6,0
200000,194,89,3,270,0,1,0,3,0,0,0,0,3,0,67,0,18,0
331250,178,72,19,1837,3,10,2,124,16,2,2,23,37,4,499,3,167,0
86500,185,81,0,137,5,0,1,9,1,0,0,2,2,1,32,1,5,1
550000,185,84,27,2225,6,12,12,168,2,5,1,7,96,34,374,20,51,10
661250,164,61,9,1010,11,3,3,67,23,2,2,11,3,17,319,10,58,1
89513,180,75,11,1150,9,7,0,57,2,1,2,9,19,4,282,3,74,0
84000,178,73,5,460,7,2,0,15,2,1,2,9,2,1,139,3,26,0
743125,183,74,26,2333,0,10,1,91,0,1,7,22,35,7,813,3,169,1
168000,188,86,13,1271,7,8,2,54,0,0,1,9,27,5,425,1,87,0
1760000,176,75,33,2910,0,13,2,159,0,5,2,14,17,4,1517,3,221,0
89513,173,66,5,664,13,12,0,37,0,0,2,7,8,2,355,2,46,0
375000,170,68,23,1917,3,14,1,166,3,3,5,28,37,3,750,6,166,0
482500,178,73,20,1915,5,4,1,84,2,0,2,21,25,2,763,10,113,0
3091667,188,80,27,2365,0,11,2,163,0,1,8,24,33,11,1160,10,188,1
2345214,188,89,22,2041,3,8,3,132,0,2,2,14,101,10,791,9,103,1
360000,170,65,21,1888,3,7,2,54,16,4,1,8,6,5,571,20,92,6
2737500,177,77,15,1267,5,7,5,76,17,6,0,3,5,18,373,16,33,6
1066910,177,65,28,2391,1,12,5,267,59,10,7,26,14,23,938,35,141,2
555000,183,77,3,319,9,5,5,26,0,0,1,1,11,7,46,0,7,1
84000,186,85,4,360,0,2,0,3,0,0,0,0,2,0,43,0,21,0
3201120,169,65,24,2146,2,14,17,71,3,1,5,1,16,38,373,13,47,13
683000,178,70,15,1400,2,6,14,107,3,2,5,7,31,32,208,13,43,6
280000,170,72,12,750,2,6,0,46,2,0,1,9,8,0,332,3,57,0
119153,173,66,4,407,2,4,1,26,1,2,0,5,3,3,125,4,21,1
806875,175,70,22,1965,0,4,2,111,16,5,7,32,10,6,716,11,130,7
550000,180,74,9,606,4,4,1,23,1,0,0,1,6,7,109,5,12,2
766617,183,82,9,759,2,4,1,33,0,1,1,0,8,15,115,7,16,3
157500,188,82,6,540,0,5,0,4,0,0,0,0,3,0,37,0,55,0
780000,180,72,29,2493,1,12,4,176,0,1,7,32,31,14,1085,8,136,0
210000,166,69,15,1296,10,13,4,72,17,3,2,32,6,6,396,7,95,0
84000,174,82,6,493,8,3,0,50,0,1,1,3,19,0,37,3,9,7
871250,180,75,22,2023,4,9,0,124,2,5,7,24,24,4,1063,6,162,1
210000,185,75,18,1643,9,12,0,103,0,1,4,16,31,2,638,1,123,0
135000,188,81,10,952,6,4,0,39,1,0,2,8,17,0,395,1,45,0
706250,173,68,16,1253,10,10,2,60,12,3,1,4,3,9,492,15,65,4
719092,187,92,29,2657,4,17,1,191,0,0,9,55,87,3,1080,4,191,2
735031,183,66,31,2787,0,12,2,119,1,0,7,21,62,5,1301,6,154,1
344880,186,81,25,2001,0,4,2,81,0,0,7,16,40,6,799,0,133,1
85444,173,72,6,624,2,1,0,36,2,0,2,13,9,1,264,5,57,0
883000,188,81,30,2700,0,11,0,8,0,0,1,0,5,0,379,1,232,0
215678,178,66,12,1078,4,6,0,78,10,2,1,18,12,0,308,7,60,1
515000,189,79,22,1980,0,7,0,8,0,0,1,0,6,0,254,0,176,0
586250,178,76,17,1337,6,9,4,73,6,5,0,14,6,13,381,9,65,5
276250,178,72,23,1957,1,9,0,158,2,2,8,43,30,2,870,2,230,0
440000,185,79,19,1798,6,7,0,99,0,0,5,20,42,1,879,1,84,0
209396,191,84,11,1307,23,9,1,149,1,2,4,9,86,15,182,7,48,9
103500,188,79,25,2250,0,11,0,12,0,0,2,0,7,0,190,1,217,0
84000,180,71,15,1412,9,10,1,72,2,1,8,16,11,1,835,0,139,0
869375,188,78,26,2340,0,12,0,11,0,0,2,1,9,0,176,0,233,0
1135000,183,76,26,2094,3,11,8,87,12,7,6,6,32,29,190,35,59,30
85000,173,68,27,2449,6,16,0,110,10,3,5,37,18,0,894,6,146,3
92216,193,95,6,540,0,3,0,2,0,0,0,0,2,0,56,0,39,0
2675000,176,72,25,2326,5,18,15,73,23,9,2,15,5,35,481,33,71,26
109209,185,79,12,1017,3,4,0,68,13,3,0,24,15,0,324,8,79,0
224000,178,70,14,1285,1,6,0,66,0,2,1,18,24,2,618,0,98,0
1150000,182,79,27,2506,3,16,1,133,0,0,6,30,58,4,1691,2,190,2
671875,177,89,8,649,3,2,3,21,1,0,0,0,10,6,104,3,10,7
130000,183,75,6,669,12,8,1,44,2,1,0,6,16,4,110,4,28,7
408900,180,72,11,985,8,8,1,61,7,0,3,11,7,6,139,15,43,5
84000,175,70,9,1123,18,10,1,52,3,3,4,19,5,6,443,6,80,1
493956,185,84,26,2262,0,11,0,125,0,1,7,22,44,0,1168,0,161,0
102258,175,68,18,1557,7,9,0,92,1,1,7,17,6,2,683,5,92,0
528300,173,64,10,867,8,5,1,38,1,0,4,3,3,7,199,8,31,4
568750,173,68,18,1697,11,12,1,128,2,2,8,39,12,5,420,8,145,2
700000,173,74,18,1518,13,6,1,120,5,2,3,30,22,7,407,9,76,4
428750,168,62,23,1997,2,5,0,102,6,3,2,24,13,4,781,9,149,1
815625,172,70,31,2680,2,12,10,216,13,5,4,34,22,21,590,34,132,6
111500,175,63,5,591,9,6,3,33,2,0,1,9,3,9,136,5,28,3
205000,173,69,2,198,11,13,0,11,0,0,1,7,2,0,76,0,12,0
252125,188,85,8,662,5,5,0,37,0,0,2,8,21,1,188,2,51,0
84000,185,68,13,1394,18,13,5,77,6,4,3,16,22,9,783,3,105,0
66724,175,77,3,259,8,5,0,19,0,1,0,2,4,0,54,2,10,0
85444,178,72,5,427,5,4,0,24,1,0,1,6,1,1,216,1,30,0
85444,188,82,2,180,0,1,0,0,0,0,0,0,0,0,25,0,12,0
172500,178,78,6,587,5,8,0,14,2,2,1,2,4,0,183,1,21,1
141244,180,82,21,1792,6,10,1,110,11,2,4,39,25,5,729,6,126,1
359000,177,70,6,520,5,1,0,19,4,1,1,7,1,2,95,4,26,3
126815,195,94,10,854,4,1,1,42,0,1,1,9,12,2,430,1,46,0
2200000,178,82,15,1452,6,12,8,96,1,3,1,7,8,16,406,10,55,5
290000,183,77,28,2400,1,6,0,100,8,1,5,24,39,0,693,7,127,0
85444,173,72,1,63,3,0,0,2,0,0,0,1,1,0,31,1,1,0
457500,180,77,26,2370,3,11,2,182,9,3,2,32,49,13,855,14,154,0
168000,185,79,12,1054,1,3,0,35,0,0,0,9,10,1,332,3,49,0
125000,185,84,14,1352,4,6,1,39,4,0,3,3,27,2,529,2,96,0
736875,175,76,28,2558,1,9,3,95,8,0,1,30,5,10,1201,8,173,0
523500,172,80,24,2066,5,12,0,99,2,4,6,37,6,8,905,8,188,1
646667,185,91,20,1710,0,10,0,69,0,0,2,14,38,2,710,2,78,0
468750,185,75,15,1398,16,12,2,112,12,5,5,13,20,13,344,11,74,1
255440,188,85,11,978,2,3,1,43,1,0,5,15,14,2,293,4,72,0
450000,178,72,24,2129,2,13,0,102,28,5,6,22,23,3,1097,13,147,1
275000,173,69,24,2211,10,17,1,164,12,3,2,29,40,5,703,24,147,1
700348,173,70,7,575,4,2,1,30,2,0,0,3,6,2,210,2,40,0
263000,183,71,14,1290,6,8,0,61,11,1,2,16,21,1,729,7,85,2
66724,176,68,24,2063,3,10,6,158,13,4,3,31,33,16,548,22,161,2
1348000,170,63,26,2166,3,12,1,95,32,10,6,17,7,9,1039,13,107,0
199600,180,68,9,968,12,7,4,55,1,2,3,11,5,10,172,9,49,2
157000,193,82,9,754,9,6,0,42,1,0,2,4,30,0,261,1,44,3
475000,188,86,33,2970,0,12,0,91,4,2,0,12,65,2,1199,7,121,0
335000,178,79,18,1701,11,10,0,60,3,1,4,16,26,2,517,6,82,1
510000,169,68,19,1758,8,8,0,102,8,2,2,31,18,5,737,15,126,1
140000,175,66,1,95,3,0,0,8,1,0,0,3,0,1,21,2,4,0
687500,179,76,30,2561,2,13,4,200,18,6,5,49,17,22,772,24,168,1
678750,178,70,32,2797,0,12,0,183,23,7,8,54,34,1,1168,27,205,1
667500,180,77,23,2013,2,12,0,124,0,4,7,20,51,4,1066,1,193,1
372500,175,65,22,1945,3,5,0,128,10,2,1,41,21,2,561,22,113,1
156375,170,69,9,1001,13,6,1,72,5,0,3,13,14,6,350,3,64,0
582500,174,72,11,893,10,14,1,50,1,2,4,12,8,2,351,6,64,0
244800,173,73,15,1350,9,10,0,78,0,0,6,26,11,2,650,3,123,0
84000,179,72,13,1167,9,6,1,45,7,4,5,9,4,8,250,12,58,13
89513,183,77,10,869,7,6,0,74,6,2,0,8,16,10,198,15,60,3
350000,176,80,21,1995,7,7,0,103,15,3,4,26,27,4,634,13,112,1
414322,166,64,14,1204,10,10,2,68,10,3,4,9,4,9,330,12,81,0
354750,187,79,29,2454,0,15,2,105,0,2,8,26,55,4,999,1,123,2
1926250,173,72,28,2505,3,11,16,141,44,12,6,17,7,43,745,33,122,13
175000,178,77,21,1849,8,11,1,86,12,5,4,14,6,9,427,23,90,16
300000,180,84,24,2097,8,16,0,153,3,2,7,50,34,6,713,11,162,2
155378,179,74,0,29,6,3,0,3,1,0,0,0,0,0,11,0,4,0
4141667,172,74,18,1641,6,10,12,46,0,1,0,1,12,21,331,7,33,16
136842,171,70,4,421,7,2,0,26,3,1,1,9,2,2,184,6,28,2
65500,188,79,4,426,5,0,0,21,0,1,0,4,5,1,69,1,13,4
726250,176,67,27,2372,3,6,3,111,9,2,6,29,20,8,1239,6,174,3
308333,191,86,1,90,0,0,0,1,0,0,0,0,1,0,14,0,12,0
133909,185,78,21,1854,1,8,0,67,2,3,5,19,14,0,1024,2,149,0
458216,193,94,29,2610,0,13,0,14,0,0,1,0,6,0,513,0,253,0
444167,188,80,12,1137,17,17,3,74,1,0,2,7,28,12,297,15,69,4
582937,178,82,25,2238,9,14,8,103,1,5,0,0,31,26,366,19,46,12
900000,194,94,16,1438,4,4,1,57,0,0,6,4,35,1,676,0,58,0
706667,175,80,16,1573,7,3,0,104,24,2,7,13,38,8,853,10,137,0
173934,193,86,7,630,0,2,0,3,0,0,0,0,2,0,101,0,62,0
643100,175,78,25,2198,0,9,0,133,1,0,8,39,50,4,1356,4,154,0
1254000,164,52,18,1652,4,3,1,96,4,0,5,22,17,5,564,8,75,0
144667,173,70,16,1369,2,7,0,68,4,1,4,12,12,1,265,3,73,0
370000,181,75,29,2546,2,19,3,165,23,5,2,39,32,10,1096,27,199,0
1206750,178,72,29,2355,0,4,0,170,7,0,6,50,19,2,959,5,178,0
175000,183,71,16,1305,5,8,0,88,0,1,1,28,12,2,644,2,102,1
85500,180,70,2,201,2,2,0,8,0,0,0,3,2,2,35,1,6,1
66724,178,74,0,128,7,1,0,10,1,1,0,3,1,1,47,1,13,0
248500,183,72,16,1734,11,11,2,118,1,1,3,23,30,9,768,6,134,2
276250,175,71,0,94,7,3,0,7,0,0,1,1,1,0,18,1,6,0
647860,168,64,14,1234,9,9,7,59,7,1,2,6,6,15,346,12,75,5
84000,193,93,2,275,9,4,0,20,0,0,0,1,13,0,96,0,8,0
1300000,160,52,27,2385,3,14,3,138,54,11,4,28,9,23,1020,27,127,5
185000,191,82,33,2970,0,9,0,13,0,0,2,0,12,0,699,0,268,0
400000,173,73,30,2668,0,14,2,98,10,3,2,14,32,2,1109,7,143,2
443750,181,84,33,2970,0,21,0,105,0,2,4,31,28,1,1234,2,246,0
1500000,180,75,27,2290,5,12,1,115,1,1,6,30,22,1,1001,2,116,0
612500,181,75,6,717,8,3,2,32,1,2,3,2,8,7,108,3,7,1
1052750,186,90,30,2655,0,11,0,172,3,4,15,33,44,5,854,4,195,1
668900,186,82,27,2312,1,8,2,104,29,4,3,36,29,5,668,12,114,3
